date,prcp,tobs
2012-01-08,0.0,64.16666666666667
2012-01-09,0.017142857142857144,68.42857142857143
2012-01-10,0.01,68.0
2012-01-11,0.02,68.0
2012-01-12,0.04,67.125
2012-01-13,0.0033333333333333335,66.16666666666667
2012-01-14,0.0,63.57142857142857
2012-01-15,0.0,74.5
2012-01-16,0.18714285714285714,74.42857142857143
2012-01-17,0.07333333333333333,73.22222222222223
2012-01-18,0.17,73.5
2012-01-19,0.003333333333333333,69.66666666666667
2012-01-20,0.0,70.77777777777777
2012-01-21,0.0016666666666666668,72.83333333333333
2012-01-22,0.005,73.0
2012-01-23,0.04142857142857143,65.14285714285714
2012-01-24,0.0,68.22222222222223
2012-01-25,0.22,68.88888888888889
2012-01-26,0.006666666666666666,72.66666666666667
2012-01-27,0.24555555555555555,67.44444444444444
2012-01-28,0.03571428571428571,71.0
2012-01-29,0.23875000000000002,72.625
2012-01-30,0.09428571428571429,68.0
2012-01-31,0.02125,69.375
2012-02-01,0.00125,64.75
2012-02-02,0.0,70.875
2012-02-03,0.0,64.25
2012-02-04,0.0,64.83333333333333
2012-02-05,0.0,69.83333333333333
2012-02-06,0.06999999999999999,67.57142857142857
2012-02-07,0.4312499999999999,71.125
2012-02-08,0.36250000000000004,63.0
2012-02-09,0.01,63.5
2012-02-10,0.0011111111111111111,67.33333333333333
2012-02-11,0.0016666666666666668,72.5
2012-02-12,0.011666666666666667,71.0
2012-02-13,0.20285714285714285,69.28571428571429
2012-02-14,0.017499999999999998,67.625
2012-02-15,0.005555555555555556,67.66666666666667
2012-02-16,0.0,71.14285714285714
2012-02-17,0.07857142857142858,70.85714285714286
2012-02-18,0.14714285714285716,71.28571428571429
2012-02-19,0.33499999999999996,71.5
2012-02-20,0.008333333333333333,72.16666666666667
2012-02-21,0.002857142857142857,70.85714285714286
2012-02-22,0.015,71.375
2012-02-23,0.20625000000000002,71.375
2012-02-24,0.10375000000000001,70.0
2012-02-25,0.021666666666666667,69.16666666666667
2012-02-26,0.25166666666666665,71.66666666666667
2012-02-27,0.15,69.5
2012-02-28,0.060000000000000005,70.375
2012-02-29,0.08571428571428573,71.71428571428571
2012-03-01,0.0875,71.25
2012-03-02,0.037142857142857144,68.57142857142857
2012-03-03,0.8842857142857142,69.71428571428571
2012-03-04,0.7085714285714285,68.85714285714286
2012-03-05,3.2471428571428573,64.85714285714286
2012-03-06,3.231428571428571,67.71428571428571
2012-03-07,2.34,66.57142857142857
2012-03-08,0.53,67.28571428571429
2012-03-09,1.4657142857142857,65.0
2012-03-10,0.6842857142857144,72.28571428571429
2012-03-11,0.09714285714285713,72.85714285714286
2012-03-12,0.31428571428571433,69.28571428571429
2012-03-13,0.06714285714285714,68.42857142857143
2012-03-14,0.004285714285714286,69.14285714285714
2012-03-15,0.015714285714285715,68.28571428571429
2012-03-16,0.028571428571428574,69.57142857142857
2012-03-17,0.008333333333333333,73.0
2012-03-18,0.15,69.16666666666667
2012-03-19,0.3383333333333334,69.83333333333333
